word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
nor,doubt,3.33%,father,3.33%,family,3.33%
ever,had,11.52%,for,9.95%,i,6.28%
when,and,14.8%,but,5.59%,that,3.07%
obliged,was,31.58%,much,15.79%,so,5.26%
able,be,29.17%,been,19.44%,being,12.5%
suppose,i,46.91%,to,14.81%,you,6.17%
feel,to,42.55%,i,9.57%,not,6.38%
done,have,26.06%,be,23.94%,had,17.61%
thing,any,41.56%,every,31.49%,a,4.79%
deal,great,69.57%,good,22.83%,vast,5.43%
if,as,9.25%,and,8.6%,that,5.59%
say,to,35.81%,dare,16.45%,you,4.52%
exactly,is,5.17%,you,5.17%,which,3.45%
said,he,5.47%,and,4.16%,well,3.5%
poor,the,9.09%,my,5.3%,but,4.55%
is,it,25.4%,she,10.37%,there,8.5%
cannot,i,47.48%,you,9.35%,one,9.35%
you,if,4.43%,to,4.17%,do,3.81%
know,you,34.03%,not,24.18%,i,17.61%
good,a,17.05%,very,13.64%,the,4.26%
wife,his,45.45%,a,18.18%,good,6.06%
us,with,15.17%,of,10.34%,let,10.34%
my,of,7.76%,to,4.85%,in,4.71%
might,she,12.42%,he,12.1%,it,11.78%
where,but,7.14%,and,7.14%,house,3.57%
three,or,16.67%,the,6.94%,at,6.94%
dear,my,61.09%,oh,4.18%,poor,2.93%
often,very,14.29%,not,12.09%,so,10.99%
we,that,4.94%,if,3.78%,and,3.78%
shall,i,55.81%,we,18.14%,what,3.72%
see,to,45.45%,you,10.0%,i,9.09%
coming,his,15.29%,of,10.59%,was,9.41%
go,to,35.11%,must,11.45%,better,4.58%
am,i,95.64%,and,0.97%,how,0.48%
get,to,40.91%,not,9.09%,can,4.55%
far,so,27.14%,as,27.14%,very,11.43%
walk,to,26.79%,a,7.14%,the,7.14%
nobody,and,9.86%,which,7.04%,is,5.63%
your,of,12.26%,for,4.46%,in,4.18%
carriage,the,49.23%,his,10.77%,a,6.15%
sure,am,53.43%,be,19.12%,was,6.86%
will,you,18.64%,i,13.26%,it,12.37%
