word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
have,would,19.92%,i,12.59%,you,7.89%
let,to,12.7%,and,6.35%,but,3.17%
alone,he,8.2%,was,8.2%,not,3.28%
rather,a,21.15%,or,13.46%,was,5.77%
like,not,3.97%,should,3.17%,is,3.17%
indeed,was,17.46%,and,9.52%,if,6.35%
arms,her,21.31%,his,18.03%,nan's,6.56%
life,his,26.92%,of,13.46%,the,7.69%
no,was,10.85%,is,4.95%,could,3.54%
seemed,it,30.86%,he,7.41%,which,7.41%
animal,the,37.68%,an,10.14%,this,10.14%
must,he,14.75%,we,13.36%,it,12.44%
almost,and,12.16%,already,4.05%,was,4.05%
such,in,10.48%,of,8.57%,with,4.76%
mr,and,4.26%,you,4.26%,no,4.26%
large,a,34.65%,the,12.87%,with,4.95%
here,remain,3.45%,but,3.45%,come,3.45%
meanwhile,and,20.0%,him,4.0%,quarters,2.67%
we,that,10.6%,and,6.95%,if,5.96%
know,i,17.32%,not,16.54%,to,15.75%
yes,yes,5.93%,it,2.96%,hull,2.22%
its,to,8.49%,in,8.02%,of,6.6%
part,this,12.96%,a,9.26%,that,8.33%
us,let,22.95%,for,9.02%,to,5.74%
will,you,18.82%,it,12.18%,he,8.49%
hours,few,25.0%,four,16.67%,two,11.67%
because,was,15.38%,is,7.69%,it,3.08%
carried,was,10.45%,he,7.46%,and,7.46%
returned,had,11.11%,he,9.26%,then,7.41%
head,the,30.23%,his,27.91%,its,4.65%
find,to,44.74%,not,9.21%,shall,7.89%
any,longer,7.76%,at,7.76%,without,6.03%
eyes,his,38.96%,her,9.09%,the,9.09%
above,and,9.8%,feet,9.8%,then,3.92%
natives,the,63.83%,of,8.51%,two,3.19%
sail,top,41.67%,to,8.33%,full,8.33%
themselves,found,6.41%,threw,5.13%,believed,3.85%
deck,the,74.6%,on,17.46%,her,1.59%
you,do,5.54%,and,5.32%,to,3.99%
your,of,10.31%,to,7.22%,at,7.22%
me,to,19.05%,for,5.44%,told,4.08%
boat,the,58.46%,whale,23.08%,a,3.85%
my,in,3.65%,no,3.65%,of,3.65%
replied,yes,4.87%,no,4.87%,jack,3.72%
after,days,5.85%,and,5.32%,minutes,3.72%
has,he,13.51%,it,11.35%,which,7.03%
am,i,95.24%,hercules,1.59%,me,1.59%
can,they,10.29%,we,8.82%,i,7.35%
hand,his,28.75%,the,8.75%,in,8.75%
set,to,27.45%,were,3.92%,the,3.92%
wind,the,75.0%,of,6.58%,favorable,3.95%
took,he,9.52%,who,5.95%,sand,4.76%
same,the,94.67%,that,4.0%,for,1.33%
portuguese,the,70.15%,and,4.48%,origin,2.99%
place,the,17.8%,took,10.17%,his,7.63%
half,a,13.56%,the,8.47%,was,6.78%
seen,not,14.04%,be,12.28%,had,10.53%
before,day,4.11%,night,3.42%,but,3.42%
night,the,59.21%,at,6.58%,dark,3.95%
point,the,16.42%,that,11.94%,this,10.45%
doubt,no,46.15%,not,21.15%,without,13.46%
however,which,3.16%,who,2.11%,he,2.11%
left,the,21.98%,have,7.69%,had,7.69%
feet,hundred,19.35%,his,6.45%,six,5.38%
hands,his,22.41%,the,13.79%,their,12.07%
soon,as,20.0%,was,14.29%,would,11.43%
while,worth,3.85%,hull,2.56%,them,2.56%
able,been,37.1%,be,32.26%,was,9.68%
saw,they,27.12%,he,23.73%,sand,10.17%
down,going,7.84%,went,7.84%,them,5.88%
near,as,5.71%,very,4.29%,passed,4.29%
thought,the,13.64%,sand,10.61%,he,9.09%
too,only,23.53%,still,5.88%,do,3.92%
high,the,25.93%,feet,16.67%,a,14.81%
see,to,39.45%,you,9.17%,not,8.26%
cried,he,3.61%,yes,3.61%,no,3.61%
ah,again,5.36%,hands,3.57%,moment,3.57%
perhaps,and,13.33%,might,4.76%,was,4.76%
shall,i,44.53%,we,39.42%,you,4.38%
