word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
large,scale,4.04%,number,4.04%,drops,4.04%
here,and,12.36%,is,6.74%,i,5.62%
we,shall,17.31%,are,14.1%,have,11.54%
know,how,18.75%,that,13.28%,the,7.81%
yes,replied,11.64%,yes,5.48%,i,5.48%
its,mouth,4.25%,course,3.3%,master,2.83%
part,of,72.22%,in,2.78%,which,2.78%
us,to,10.83%,go,5.83%,and,4.17%
will,be,20.57%,not,11.35%,have,4.26%
hours,of,10.0%,the,8.33%,and,8.33%
because,the,18.31%,he,12.68%,they,12.68%
carried,away,13.04%,on,11.59%,by,8.7%
returned,to,54.72%,mrs,7.55%,dick,5.66%
head,cook,12.79%,of,9.3%,to,6.98%
find,a,12.99%,out,7.79%,it,7.79%
any,more,9.4%,one,9.4%,other,5.13%
eyes,were,7.79%,of,6.49%,to,3.9%
above,all,38.46%,the,34.62%,his,3.85%
natives,of,6.45%,who,5.38%,had,4.3%
sail,and,13.33%,was,8.33%,to,5.0%
themselves,in,10.26%,to,7.69%,on,6.41%
deck,of,7.94%,there,6.35%,the,6.35%
you,will,10.9%,have,8.97%,are,7.48%
your,companions,5.05%,husband,3.03%,service,3.03%
me,to,12.33%,i,6.85%,that,6.16%
boat,was,9.3%,and,7.75%,had,3.88%
my,young,13.96%,friends,9.46%,friend,6.31%
replied,the,20.68%,dick,17.85%,harris,14.16%
after,the,16.5%,having,15.5%,a,8.0%
has,been,17.77%,not,6.09%,never,3.05%
am,going,19.05%,not,7.94%,a,6.35%
can,be,17.14%,only,10.0%,do,8.57%
hand,and,6.02%,to,6.02%,the,4.82%
set,out,35.29%,off,5.88%,to,3.92%
wind,which,9.21%,and,7.89%,was,6.58%
took,place,12.77%,the,11.7%,his,6.38%
same,time,25.33%,day,8.0%,velocity,2.67%
portuguese,authorities,7.69%,the,4.62%,who,4.62%
place,where,11.86%,the,10.17%,to,5.93%
half,a,16.39%,of,8.2%,an,8.2%
seen,it,9.26%,for,5.56%,and,5.56%
before,the,22.92%,him,8.33%,long,4.86%
night,the,6.85%,before,6.85%,of,5.48%
point,of,44.78%,that,5.97%,on,4.48%
however,that,12.77%,the,8.51%,he,8.51%
left,the,19.1%,bank,13.48%,it,7.87%
feet,in,10.75%,high,9.68%,of,9.68%
hands,of,13.11%,and,6.56%,he,6.56%
soon,as,20.0%,discovered,4.29%,reached,4.29%
while,the,19.23%,he,8.97%,tom,5.13%
able,to,98.39%,at,1.61%
saw,that,16.67%,nothing,10.0%,the,8.33%
down,the,13.73%,again,9.8%,in,7.84%
near,the,29.58%,as,5.63%,her,5.63%
thought,of,23.19%,that,21.74%,he,13.04%
too,much,19.61%,well,9.8%,true,7.84%
high,price,13.21%,sails,3.77%,chain,3.77%
see,the,9.26%,that,9.26%,it,8.33%
cried,dick,22.09%,captain,15.12%,little,10.47%
ah,my,8.77%,how,7.02%,if,7.02%
perhaps,he,6.67%,it,5.71%,the,5.71%
shall,be,11.68%,not,10.22%,make,5.84%
our,ship,5.81%,captain,5.81%,journey,3.49%
longer,any,7.63%,a,5.93%,there,3.39%
moment,the,15.89%,when,11.21%,dick,5.61%
dog,which,10.26%,had,10.26%,that,5.13%
heard,the,16.95%,a,10.17%,and,6.78%
water,and,5.51%,which,4.72%,would,3.94%
off,the,16.07%,and,10.71%,from,7.14%
blacks,were,11.43%,and,5.71%,he,4.29%
africa,the,7.0%,from,6.0%,and,6.0%
slaves,and,5.43%,in,5.43%,were,5.43%
black,and,7.27%,point,7.27%,tom,3.64%
companions,and,9.22%,had,8.51%,were,7.8%
taken,place,9.43%,flight,5.66%,in,5.66%
tom,and,32.61%,was,3.26%,at,2.17%
bat,and,25.0%,austin,9.62%,had,5.77%
hercules,had,5.15%,and,5.15%,would,4.12%
dingo,was,7.41%,had,7.41%,who,3.7%
country,of,9.8%,where,6.86%,and,6.86%
lost,in,13.21%,his,9.43%,sight,5.66%
friend,dick,21.67%,replied,10.0%,no,8.33%
through,the,59.26%,this,3.7%,which,3.7%
air,it,6.9%,would,6.9%,with,5.17%
trees,of,8.11%,and,8.11%,which,6.76%
river,which,9.33%,and,4.0%,but,4.0%
forest,which,8.2%,no,6.56%,and,6.56%
journey,from,12.96%,would,11.11%,of,9.26%
