word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
morning,the,28.99%,next,10.08%,this,6.3%
both,they,7.91%,with,7.19%,of,6.12%
while,little,7.0%,a,3.75%,and,3.25%
asked,i,16.1%,he,9.04%,and,8.19%
dark,the,24.32%,a,11.97%,and,5.02%
far,so,25.42%,as,8.33%,not,6.25%
saw,i,43.22%,he,13.33%,and,9.43%
seen,had,24.26%,have,20.71%,never,12.72%
that's,and,8.44%,head,1.78%,joe,1.78%
looked,and,18.17%,he,14.53%,i,9.01%
heard,i,20.14%,had,11.81%,have,10.76%
until,it,4.55%,not,4.22%,me,2.27%
told,i,26.82%,had,8.05%,he,7.28%
friend,my,16.96%,his,10.43%,a,8.26%
tell,to,21.32%,i,17.11%,i'll,7.63%
us,of,13.53%,let,7.25%,with,6.27%
get,to,42.55%,you,5.28%,and,5.28%
felt,i,42.34%,he,16.67%,and,5.86%
soon,as,20.98%,was,11.61%,so,5.36%
light,the,29.7%,a,12.12%,of,6.06%
seemed,it,16.98%,he,7.23%,and,4.72%
hear,to,32.47%,you,13.85%,could,4.76%
gone,was,19.32%,had,18.56%,have,10.98%
doctor,the,59.87%,of,2.55%,citizen,2.23%
those,of,18.48%,in,8.21%,and,6.16%
joe,said,17.65%,mrs,8.4%,and,4.9%
lorry,mr,97.51%,mrs,0.62%,see,0.62%
pip,mr,24.28%,you,3.83%,it,2.56%
biddy,said,11.01%,and,10.57%,to,6.61%
jaggers,mr,95.22%,is,0.48%,that,0.48%
herbert,said,17.59%,to,8.28%,and,4.14%
scrooge,said,27.8%,cried,3.51%,mr,3.19%
