word,First Choice,Percentage,Second Choice,Percentage,Third Choice,Percentage
night,at,27.62%,the,14.29%,that,9.52%
give,to,36.36%,not,12.12%,and,10.61%
only,was,13.23%,had,9.73%,the,5.45%
being,of,12.5%,were,6.82%,was,5.68%
think,to,37.84%,you,17.57%,not,6.76%
such,and,10.79%,of,8.63%,with,5.76%
say,to,26.67%,would,13.33%,i,10.0%
very,the,20.28%,a,16.08%,was,10.49%
always,was,26.67%,were,10.67%,had,9.33%
nothing,was,16.15%,had,10.0%,knew,7.69%
saw,he,50.89%,and,11.61%,she,8.93%
long,a,23.15%,so,10.34%,before,7.39%
another,to,11.73%,and,8.64%,was,7.41%
same,the,90.83%,this,2.5%,that,2.5%
morning,the,41.59%,next,8.85%,every,6.19%
under,it,3.51%,was,3.51%,minutes,1.75%
finally,and,23.53%,until,9.8%,then,7.84%
people,the,32.89%,of,5.26%,poor,4.61%
than,more,37.5%,less,7.64%,worse,4.86%
arms,his,40.0%,their,15.0%,her,13.33%
themselves,for,7.41%,of,7.41%,give,3.7%
go,to,35.44%,would,14.35%,not,5.06%
floor,the,77.17%,this,3.26%,level,2.17%
making,and,13.73%,was,9.8%,of,7.84%
well,as,32.98%,pretty,3.19%,see,3.19%
soul,his,34.55%,the,25.45%,her,9.09%
something,was,11.11%,be,9.52%,of,9.52%
let,to,29.63%,and,11.11%,not,5.56%
run,a,25.86%,to,18.97%,and,10.34%
get,to,42.09%,could,10.79%,would,9.35%
however,end,4.88%,time,4.88%,now,3.66%
know,to,24.46%,i,15.83%,not,15.11%
help,to,20.24%,not,19.05%,and,7.14%
enough,was,8.6%,big,7.53%,had,5.38%
years,two,15.38%,ten,9.23%,five,7.69%
done,had,23.46%,be,22.22%,was,14.81%
good,a,34.29%,the,8.57%,as,4.29%
worked,who,21.79%,had,17.95%,he,8.97%
country,the,64.56%,a,7.59%,new,3.8%
taken,had,37.68%,were,10.14%,have,10.14%
days,three,22.97%,few,10.81%,ten,8.11%
ever,had,21.11%,than,14.44%,it,7.78%
since,ever,11.76%,and,5.88%,however,3.92%
here,and,5.29%,live,3.37%,of,2.88%
whom,to,18.52%,with,11.11%,of,11.11%
anything,for,13.89%,get,4.17%,of,4.17%
stand,to,30.19%,would,15.09%,not,11.32%
hours,two,19.23%,for,9.62%,four,7.69%
knew,he,50.54%,they,8.6%,only,8.6%
year,a,40.3%,every,17.91%,the,8.96%
lost,had,27.12%,and,8.47%,be,5.08%
job,a,57.95%,his,12.5%,the,9.09%
meant,he,16.98%,which,11.32%,this,11.32%
houses,packing,36.54%,the,23.08%,of,3.85%
cents,five,32.14%,fifteen,14.29%,fifty,10.71%
arm,his,26.23%,the,18.03%,one,9.84%
money,the,14.47%,no,11.32%,of,8.18%
dollars,hundred,16.03%,five,14.1%,two,8.33%
able,been,30.77%,be,28.85%,was,13.46%
till,morning,5.77%,wait,5.77%,dawn,3.85%
thing,a,27.64%,the,17.07%,one,6.5%
poor,the,27.85%,a,7.59%,too,5.06%
world,the,71.29%,a,11.88%,this,2.97%
going,was,37.5%,were,15.28%,been,8.33%
twenty,or,16.95%,of,8.47%,about,8.47%
ten,or,16.44%,of,8.22%,for,6.85%
cried,he,47.54%,she,11.48%,they,6.56%
should,he,25.0%,she,9.21%,they,7.89%
paid,had,13.7%,he,10.96%,they,9.59%
kept,who,13.21%,be,13.21%,he,11.32%
full,was,14.29%,a,10.0%,were,5.71%
yet,and,28.18%,not,10.0%,was,3.64%
drink,a,21.82%,to,16.36%,not,5.45%
found,he,23.26%,and,18.6%,they,13.95%
told,he,20.0%,and,13.91%,was,13.04%
food,the,19.61%,for,9.8%,of,9.8%
try,to,39.29%,would,14.29%,and,10.71%
because,and,8.8%,was,5.6%,it,4.8%
house,the,46.5%,station,6.37%,a,5.73%
we,and,12.22%,but,3.33%,that,3.33%
i,and,5.69%,it,4.16%,said,3.06%
woman,the,39.06%,a,18.75%,old,7.81%
business,the,31.03%,of,8.62%,for,5.17%
put,and,15.62%,to,13.28%,had,10.94%
find,to,38.46%,would,17.95%,could,8.97%
asked,he,37.84%,and,13.51%,had,9.46%
word,a,46.3%,the,12.96%,his,5.56%
me,to,11.66%,with,6.13%,told,4.91%
my,of,9.88%,in,9.88%,and,6.17%
why,and,8.33%,was,5.56%,understand,4.17%
yes,it,4.84%,ah,3.23%,said,3.23%
